AGUASCALIENTES, -, MEX
month,Dry Bulb Temp,Wet Bulb Temp,Depression,Dew Point,Rel Humidity,Global Horiz Rad,Direct Norm Rad,Diffuse Rad,Wind Speed,Wind Direction,Sky Cover,
 ,Avg Daily,Avg Daily,Avg Daily,Avg Daily,Avg Daily,Avg Daily,Avg Daily,Avg Daily,Avg Daily,Avg Daily,Avg Daily,
 ,degrees C,degrees C,degrees C,degrees C,percent,(Wh/sq.m),(Wh/sq.m),(Wh/sq.m),ms,degrees,percent,
1,13.915458,7.526108,6.3893485,1.0043012,46.237904,417.46585,558.3147,154.3614,1.9221774,180.52957,31.653225,
2,14.441368,6.8854895,7.55588,-2.135119,38.848213,490.2945,631.01215,158.47688,2.4769347,189.62798,24.077381,
3,18.025,9.680493,8.344507,2.0194893,37.794353,539.1744,591.9115,171.78949,2.8454304,211.78763,27.580645,
4,21.66861,10.142785,11.525828,-1.8816668,24.552778,557.60016,546.66614,190.07063,2.3008335,197.22223,41.680557,
5,22.501478,12.145392,10.356086,1.9534948,33.823925,556.3692,537.64417,183.14767,2.4360216,179.6371,35.255375,
6,22.232777,13.951561,8.281215,7.9002786,44.894444,484.02332,397.9408,215.95564,2.8348613,130.13889,53.01389,
7,19.562233,15.071568,4.4906626,12.254973,66.9086,427.90762,292.4734,237.1212,1.9608871,157.04301,64.91936,
8,20.463842,14.586922,5.876923,10.771102,57.56855,466.1673,343.14395,232.58727,1.8306452,149.16667,54.717743,
9,19.611391,14.512175,5.099215,11.188889,61.943054,418.38226,283.7354,235.12311,1.8334721,180.19444,60.333332,
10,18.906452,12.309955,6.5964985,7.069086,51.123657,461.48917,494.81708,176.84499,2.2149193,152.2715,35.739246,
11,15.448471,9.070572,6.3778996,2.9793053,48.691666,452.48572,588.2677,148.89774,2.1574998,150.75,22.88889,
12,12.037769,6.643368,5.3944016,0.7159948,50.81317,395.5912,519.03754,145.62613,2.20672,181.27689,33.951614,
