MEXICO-CITY, -, MEX
month,Dry Bulb Temp,Wet Bulb Temp,Depression,Dew Point,Rel Humidity,Global Horiz Rad,Direct Norm Rad,Diffuse Rad,Wind Speed,Wind Direction,Sky Cover,
 ,Avg Daily,Avg Daily,Avg Daily,Avg Daily,Avg Daily,Avg Daily,Avg Daily,Avg Daily,Avg Daily,Avg Daily,Avg Daily,
 ,degrees C,degrees C,degrees C,degrees C,percent,(Wh/sq.m),(Wh/sq.m),(Wh/sq.m),ms,degrees,percent,
1,14.812097,10.410722,4.4013753,6.78414,62.08468,408.18307,449.72464,182.28941,2.5057797,217.83603,17.405914,
2,16.789286,10.710308,6.0789776,5.671429,50.767857,478.6848,511.26056,190.02888,2.4168153,216.93452,20.46131,
3,18.621773,11.162091,7.4596834,4.8970428,44.05645,512.0682,490.32333,211.84106,2.4219084,234.98656,35.14785,
4,19.781385,12.7542925,7.0270963,7.462777,49.422222,530.0896,485.61234,207.95256,2.947639,246.77777,34.944443,
5,19.663307,14.01181,5.651496,10.159273,58.9543,480.68463,339.20053,238.94075,2.2094085,221.43817,56.841396,
6,19.030693,14.735608,4.295088,11.785417,69.388885,448.33646,326.7428,220.20175,2.65375,241.11111,58.375,
7,17.355913,13.95383,3.402084,11.795027,73.048386,408.61026,227.60895,259.65997,2.5346775,245.7258,73.870964,
8,18.431992,14.258025,4.1739655,11.512095,68.83064,433.3157,262.54922,259.26828,2.619489,259.26074,75.28226,
9,17.39625,13.937112,3.459138,11.799862,71.859726,388.79227,209.67702,257.938,2.8252778,260.91666,75.125,
10,16.095024,11.638448,4.4565797,8.240458,64.0336,434.96985,381.7821,211.589,3.0068545,272.82257,59.932796,
11,15.71736,10.56183,5.155532,6.25486,57.306946,421.67746,441.84152,185.80853,2.726389,233.75,32.875,
12,13.975404,9.07726,4.8981423,4.6756725,57.130375,397.63358,446.50052,171.0283,2.6451614,202.17741,33.091396,
