CUERNAVACA, -, MEX
month,Dry Bulb Temp,Wet Bulb Temp,Depression,Dew Point,Rel Humidity,Global Horiz Rad,Direct Norm Rad,Diffuse Rad,Wind Speed,Wind Direction,Sky Cover,
 ,Avg Daily,Avg Daily,Avg Daily,Avg Daily,Avg Daily,Avg Daily,Avg Daily,Avg Daily,Avg Daily,Avg Daily,Avg Daily,
 ,degrees C,degrees C,degrees C,degrees C,percent,(Wh/sq.m),(Wh/sq.m),(Wh/sq.m),ms,degrees,percent,
1,20.82836,12.448401,8.37996,5.905108,40.504032,420.79044,491.25143,173.8778,0.7057796,210.34946,28.387096,
2,22.553871,13.53683,9.017037,6.798809,39.55357,493.49234,537.0419,178.54843,0.6772321,225.56548,22.083334,
3,22.86317,14.014934,8.848239,7.560081,40.646507,521.81635,522.299,195.37651,1.5630379,189.26076,25.94086,
4,25.860275,16.813854,9.046425,11.412639,42.851387,559.32263,528.46313,189.551,1.2227778,212.77777,27.347221,
5,25.032124,16.590967,8.441157,11.230109,46.56586,526.3631,446.8613,195.1427,0.7274194,250.61829,44.139786,
6,23.183474,17.220167,5.9633083,13.894998,60.32639,434.86758,299.30264,240.59761,0.8820833,179.31944,68.263885,
7,22.644894,17.415678,5.229214,14.653763,64.1371,432.76886,288.8372,245.57518,0.69596773,199.58333,70.094086,
8,21.92715,17.62671,4.3004403,15.424061,68.65457,442.81644,286.9969,246.61293,0.7819892,245.38979,65.33602,
9,22.151388,18.434523,3.7168665,16.574446,73.01667,388.43433,217.4911,249.36339,0.58124995,199.69444,79.80556,
10,21.546234,15.849748,5.6964893,12.430107,58.83468,429.94165,376.76855,215.91933,0.69932795,210.71237,52.634407,
11,21.16514,14.515422,6.6497188,9.972362,51.927776,432.0695,467.43192,177.5399,1.1079167,236.45833,38.680557,
12,19.13723,12.811324,6.325909,8.14731,52.06317,407.78986,467.61374,162.38147,0.75470424,217.05646,31.169355,
