DURANGO(CITY), -, MEX
month,Dry Bulb Temp,Wet Bulb Temp,Depression,Dew Point,Rel Humidity,Global Horiz Rad,Direct Norm Rad,Diffuse Rad,Wind Speed,Wind Direction,Sky Cover,
 ,Avg Daily,Avg Daily,Avg Daily,Avg Daily,Avg Daily,Avg Daily,Avg Daily,Avg Daily,Avg Daily,Avg Daily,Avg Daily,
 ,degrees C,degrees C,degrees C,degrees C,percent,(Wh/sq.m),(Wh/sq.m),(Wh/sq.m),ms,degrees,percent,
1,12.13266,6.9260826,5.206578,1.6064515,52.840054,376.4438,475.5282,160.83794,1.5452956,181.12903,53.629032,
2,14.179463,6.792904,7.386561,-1.6433036,38.686012,454.68997,528.38306,169.9536,1.9522321,201.53275,30.14881,
3,17.809406,9.126892,8.682517,0.2631719,36.678764,482.0921,478.25443,206.57043,2.1758065,198.14516,34.39516,
4,19.903193,10.303029,9.600166,1.181389,32.116665,502.84778,478.13126,206.02354,2.3805556,215.875,34.11111,
5,22.733467,12.278187,10.455279,3.4383068,31.971775,522.39514,496.2348,205.61491,2.044758,184.56989,32.244625,
6,22.2575,15.564804,6.6926928,11.378332,54.35278,468.78104,402.13928,238.35335,1.5794444,144.13889,52.36111,
7,21.715055,16.329973,5.38508,13.247851,62.317204,431.7916,283.54105,241.49446,1.8633069,152.35216,64.85215,
8,21.03051,15.813791,5.2167196,12.7543,62.61156,434.66562,302.95917,234.28833,1.4357527,123.57527,63.575268,
9,19.778337,15.868888,3.9094458,13.669028,70.37639,422.79562,309.47937,228.48972,1.0086111,130.77777,52.98611,
10,19.746506,14.072625,5.673881,10.2635765,58.682796,447.70883,473.99017,187.69061,1.019086,152.2715,34.677418,
11,14.403334,9.130963,5.27237,4.4575,56.254166,420.38248,564.61365,158.48222,1.1901389,190.76389,28.902779,
12,11.370296,6.558506,4.8117905,1.5608872,55.248657,369.6845,497.227,147.02037,1.1041666,171.08871,35.75269,
