HERMOSILLO-IAP, -, MEX
month,Dry Bulb Temp,Wet Bulb Temp,Depression,Dew Point,Rel Humidity,Global Horiz Rad,Direct Norm Rad,Diffuse Rad,Wind Speed,Wind Direction,Sky Cover,
 ,Avg Daily,Avg Daily,Avg Daily,Avg Daily,Avg Daily,Avg Daily,Avg Daily,Avg Daily,Avg Daily,Avg Daily,Avg Daily,
 ,degrees C,degrees C,degrees C,degrees C,percent,(Wh/sq.m),(Wh/sq.m),(Wh/sq.m),ms,degrees,percent,
1,16.784409,9.373721,7.4106865,2.1135752,40.716396,290.63696,279.76917,169.06798,1.2298388,183.61559,37.35215,
2,17.998512,9.517099,8.481413,0.760119,37.458332,338.893,290.2985,192.49124,1.6497023,184.03275,29.255953,
3,20.831451,10.95805,9.873401,0.6614245,32.86156,393.60632,285.46906,223.9477,2.1123655,162.80914,25.241936,
4,25.508335,13.769652,11.738683,3.7458336,28.8,442.7859,323.61737,238.50893,2.3413892,161.93056,19.291666,
5,28.629438,15.608048,13.021391,5.459812,26.858871,449.91943,300.08496,245.25618,2.555645,159.69086,21.223118,
6,33.38334,20.596174,12.787158,13.33014,34.261112,458.92474,325.3537,242.45312,2.5051389,194.11111,19.944445,
7,33.709274,23.26623,10.443045,18.433603,45.271507,398.20074,232.80658,250.67137,2.514785,168.96506,55.994625,
8,33.48871,24.904667,8.584043,21.534948,53.21371,390.23495,225.70197,239.26176,1.8591399,137.52689,50.846775,
9,30.907501,23.870115,7.037386,21.124025,58.566666,367.7644,219.19743,237.12654,1.6443051,191.65277,32.51389,
10,26.097042,17.846455,8.25059,12.768683,48.79301,346.07803,259.21866,208.39954,1.3403227,144.23387,32.45968,
11,22.299582,14.254723,8.044857,8.07514,45.275,318.24954,315.46347,172.11751,1.7658334,169.41667,19.847221,
12,15.973385,9.389576,6.5838118,2.902285,45.24328,275.4244,290.51385,159.58647,1.114785,183.92473,29.112904,
