LA-PAZ(CITY), -, MEX
month,Dry Bulb Temp,Wet Bulb Temp,Depression,Dew Point,Rel Humidity,Global Horiz Rad,Direct Norm Rad,Diffuse Rad,Wind Speed,Wind Direction,Sky Cover,
 ,Avg Daily,Avg Daily,Avg Daily,Avg Daily,Avg Daily,Avg Daily,Avg Daily,Avg Daily,Avg Daily,Avg Daily,Avg Daily,
 ,degrees C,degrees C,degrees C,degrees C,percent,(Wh/sq.m),(Wh/sq.m),(Wh/sq.m),ms,degrees,percent,
1,18.786156,14.435505,4.3506517,11.547579,65.30779,314.846,255.20984,194.73204,2.2969086,223.50807,19.82527,
2,20.495537,14.185777,6.3097587,9.665178,53.528275,370.9043,271.93613,219.24641,2.2641368,271.90475,25.104166,
3,23.112501,15.27552,7.836979,9.812098,47.532257,425.6415,301.16772,241.90138,2.423387,210.26881,18.481182,
4,24.371946,16.028736,8.3432045,10.395833,45.719444,449.92496,294.9378,257.696,2.7436109,249.95833,21.11111,
5,25.768682,17.765152,8.0035305,13.023792,51.259407,473.88434,324.57968,245.17747,3.1028225,215.38979,12.97043,
6,28.174305,20.216942,7.9573655,16.265697,53.141666,477.32022,330.97784,240.9502,3.3788888,209.93056,7.4583335,
7,29.966125,22.71568,7.2504516,19.673384,57.05914,451.3606,279.29724,249.18886,2.9786289,204.24731,22.392473,
8,30.612358,24.251152,6.361214,21.775806,62.143818,430.2051,260.87512,253.59125,3.1633062,202.62097,28.44086,
9,30.578747,25.55507,5.023678,23.784027,69.41805,400.55872,242.80046,250.08035,2.8622222,204.22223,26.305555,
10,28.056984,22.484283,5.5727067,20.095028,63.966396,371.85974,259.84607,227.50983,2.5235214,232.28494,23.991936,
11,24.230974,19.126368,5.1046047,16.520275,64.31528,346.1096,297.1807,199.83318,2.2979167,244.125,8.805555,
12,19.807928,16.131384,3.6765478,13.986691,70.625,297.81122,240.54507,187.81073,2.1071239,252.33871,20.954302,
