Ciudad,Yucatan,Ciudad,Yucatan,Lat,20.98,Long,-89.65,Fuente,Custom-766440,Zona,-6,Elevacion,9
month,Dry Bulb Temp,Wet Bulb Temp,Depression,Dew Point,Rel Humidity,Global Horiz Rad,Direct Norm Rad,Diffuse Rad,Wind Speed,Wind Direction,Sky Cover,,
 ,Avg Daily,Avg Daily,Avg Daily,Avg Daily,Avg Daily,Avg Daily,Avg Daily,Avg Daily,Avg Daily,Avg Daily,Avg Daily,,
 ,degrees C,degrees C,degrees C,degrees C,percent,(Wh/sq.m),(Wh/sq.m),(Wh/sq.m),ms,degrees,percent,,
1,23.775,19.946579,3.8284204,18.058601,73.518814,332.36032,281.21454,199.98537,3.169086,163.52284,49.66398,,
2,25.839283,21.522943,4.3163414,19.582886,71.85119,372.2831,273.46024,223.06473,3.851339,130.68452,47.529762,,
3,26.07002,21.21002,4.860004,18.888039,68.810486,419.20404,301.78546,235.33383,4.2436824,111.22312,47.16398,,
4,29.20486,22.228727,6.9761353,19.070833,59.329166,477.40802,366.65598,232.62444,4.9409723,139.06944,38.47222,,
5,29.719889,24.831661,4.8882313,22.904703,71.57527,455.54688,331.20343,235.06479,4.503629,117.93011,50.2957,,
6,28.377918,24.320086,4.057828,22.80833,74.359726,375.82336,174.92142,260.92593,3.816667,102.013885,70.513885,,
7,28.576883,25.085764,3.491117,23.79839,78.610214,398.68607,227.6531,256.65298,3.6611557,108.41398,60.01344,,
8,28.222713,25.314112,2.9086015,24.327421,81.037636,384.05142,182.66579,262.15256,2.9525537,115.268814,60.577957,,
9,27.870556,25.336483,2.534072,24.46167,83.69583,337.35968,128.10524,262.13568,2.2994444,115.15278,62.11111,,
10,26.71788,24.386915,2.3309596,23.501213,84.43011,326.56808,177.1838,232.39078,2.6739247,200.80646,62.05645,,
11,25.040554,22.648369,2.3921895,21.67083,83.88611,325.72443,248.71881,206.59668,2.3645833,151.54167,55.930557,,
12,23.913712,20.300226,3.61348,18.523254,76.00538,308.54636,259.4944,198.09113,3.2137094,137.64784,45.01344,,
