Ciudad,Baja California,Ciudad,Baja California,Lat,32.63,Long,-115,Fuente,Custom-760053,Zona,-8,Elevacion,23
month,Dry Bulb Temp,Wet Bulb Temp,Depression,Dew Point,Rel Humidity,Global Horiz Rad,Direct Norm Rad,Diffuse Rad,Wind Speed,Wind Direction,Sky Cover,,
 ,Avg Daily,Avg Daily,Avg Daily,Avg Daily,Avg Daily,Avg Daily,Avg Daily,Avg Daily,Avg Daily,Avg Daily,Avg Daily,,
 ,degrees C,degrees C,degrees C,degrees C,percent,(Wh/sq.m),(Wh/sq.m),(Wh/sq.m),ms,degrees,percent,,
1,13.204435,8.850823,4.3536134,4.6525536,59.11156,289.1684,399.72202,146.62543,2.2126346,263.1317,39.018818,,
2,15.598658,10.898702,4.699959,6.9794645,58.438988,304.55182,249.7929,189.55042,2.8144345,258.1994,29.776785,,
3,19.76734,12.531378,7.2359605,6.7366924,45.393818,382.24075,290.71524,217.97546,3.5706985,255.63171,20.268818,,
4,21.787083,14.599439,7.187645,9.795416,48.8875,412.87976,284.14142,237.4262,3.8631945,233.86111,20.402779,,
5,27.24973,18.855503,8.394229,14.342875,48.151882,447.8712,319.88776,243.99142,3.8029573,206.38441,12.916667,,
6,31.314306,20.43624,10.878065,14.935974,39.108334,468.21344,356.21,237.62915,3.1999996,209.97223,5.5277777,,
7,34.150944,24.1219,10.02904,20.050674,45.909946,434.86105,297.21262,238.70564,4.2572575,173.91129,20.92742,,
8,34.247314,24.48231,9.765001,20.563438,47.478493,429.45,310.90356,232.53755,3.4673386,190.38979,15.752688,,
9,32.30042,21.623745,10.676672,16.574722,41.37639,411.3434,328.8457,217.274,2.6681943,235.83333,9.986111,,
10,25.72083,17.453909,8.266927,12.599061,46.080647,348.80447,307.34457,194.0965,2.6268816,259.39517,15.806452,,
11,18.456387,12.554925,5.901463,7.942362,53.427776,282.23746,292.04608,160.84924,2.1259723,260.72223,22.027779,,
12,12.823119,8.70485,4.118269,4.6045694,60.44086,245.46657,261.82834,147.34901,2.5872316,274.01883,28.373655,,
