MONTERREY(CITY), -, MEX
month,Dry Bulb Temp,Wet Bulb Temp,Depression,Dew Point,Rel Humidity,Global Horiz Rad,Direct Norm Rad,Diffuse Rad,Wind Speed,Wind Direction,Sky Cover,
 ,Avg Daily,Avg Daily,Avg Daily,Avg Daily,Avg Daily,Avg Daily,Avg Daily,Avg Daily,Avg Daily,Avg Daily,Avg Daily,
 ,degrees C,degrees C,degrees C,degrees C,percent,(Wh/sq.m),(Wh/sq.m),(Wh/sq.m),ms,degrees,percent,
1,15.117744,10.822125,4.2956166,7.1130385,62.533604,307.60522,287.49677,166.72128,1.5381721,134.48924,53.212364,
2,17.012499,12.4457655,4.5667353,8.9306555,63.916668,387.76254,409.43198,170.8499,1.3013393,164.19643,41.71131,
3,20.695297,15.099,5.5962973,11.063306,60.157257,421.11664,361.99643,196.49005,1.8903226,147.2715,47.244625,
4,22.923334,17.495584,5.42775,14.280972,62.952778,452.81726,353.64218,203.42479,1.992361,111.25,45.333332,
5,28.332127,22.081795,6.2503242,19.25551,62.4543,452.68262,315.52966,212.09962,1.9793011,142.35216,57.889786,
6,29.08153,23.448154,5.633372,21.29611,65.05556,491.8086,394.47977,216.24875,1.7465278,120.80556,45.333332,
7,28.086828,22.90503,5.1818,20.858198,67.00672,485.19653,390.22336,217.9168,1.912769,98.93817,46.72043,
8,28.291,22.671421,5.6195717,20.39207,64.91532,479.0321,384.459,214.2625,1.3961021,130.45699,54.032257,
9,25.26472,21.617157,3.6475635,20.062637,75.13194,403.53668,280.1802,219.76193,1.1836112,138.86111,59.680557,
10,22.909946,19.415607,3.4943404,17.622177,74.129036,366.8781,297.97485,198.2274,1.6143819,173.27957,55.376343,
11,18.585138,14.579804,4.0053363,11.763749,68.20417,327.67963,365.77835,159.20787,1.1919445,184.125,52.875,
12,14.711827,12.092948,2.6188793,10.126344,76.189514,304.55325,341.13184,145.839,1.0517473,176.38441,48.70968,
