PACHUCA, -, MEX
month,Dry Bulb Temp,Wet Bulb Temp,Depression,Dew Point,Rel Humidity,Global Horiz Rad,Direct Norm Rad,Diffuse Rad,Wind Speed,Wind Direction,Sky Cover,
 ,Avg Daily,Avg Daily,Avg Daily,Avg Daily,Avg Daily,Avg Daily,Avg Daily,Avg Daily,Avg Daily,Avg Daily,Avg Daily,
 ,degrees C,degrees C,degrees C,degrees C,percent,(Wh/sq.m),(Wh/sq.m),(Wh/sq.m),ms,degrees,percent,
1,12.610484,8.30127,4.3092146,4.3905916,59.89113,359.90347,338.10828,196.97293,3.918952,115.02688,50.79301,
2,14.163689,9.486399,4.677292,5.3860116,58.0253,438.52228,416.89877,207.85796,4.265774,113.3631,20.699406,
3,14.439649,9.148349,5.2913017,4.4997315,54.521507,475.3424,428.51697,226.45459,3.4439516,130.49731,43.427418,
4,16.17861,10.597023,5.5815883,5.9330544,54.190277,489.78833,396.58832,238.93668,3.4056942,135.23611,41.22222,
5,16.577955,12.501436,4.0765224,9.58871,67.05645,476.69495,364.505,237.60928,3.0486553,137.90323,42.862904,
6,15.745002,12.657994,3.0870035,10.52972,73.004166,415.3606,240.59308,258.22897,4.00625,101.75,50.26389,
7,15.006184,11.762803,3.243381,9.422716,71.32796,404.74622,220.61882,262.49377,4.86586,99.95968,59.784946,
8,15.853766,12.948619,2.9051454,11.077151,74.59006,408.33023,210.28874,271.00247,4.640457,117.701614,58.965054,
9,14.469724,11.468613,3.0011098,9.255139,72.34583,389.64795,209.49223,259.1236,4.171111,85.93056,59.72222,
10,12.866668,9.674039,3.1926277,6.8344083,69.064514,389.86963,294.7874,222.06502,3.9532254,83.46774,41.08871,
11,13.077915,9.75658,3.3213365,7.058056,68.7625,369.7493,333.66196,204.03696,4.0869446,89.166664,40.15278,
12,12.216263,8.110733,4.1055303,4.2619624,60.928764,359.52005,370.97296,192.15012,2.9842749,118.629036,53.76344,
