PUEBLA, -, MEX
month,Dry Bulb Temp,Wet Bulb Temp,Depression,Dew Point,Rel Humidity,Global Horiz Rad,Direct Norm Rad,Diffuse Rad,Wind Speed,Wind Direction,Sky Cover,
 ,Avg Daily,Avg Daily,Avg Daily,Avg Daily,Avg Daily,Avg Daily,Avg Daily,Avg Daily,Avg Daily,Avg Daily,Avg Daily,
 ,degrees C,degrees C,degrees C,degrees C,percent,(Wh/sq.m),(Wh/sq.m),(Wh/sq.m),ms,degrees,percent,
1,13.309543,8.42791,4.8816333,4.0709677,57.348118,438.2194,553.16504,163.37184,2.6430104,170.81989,24.69086,
2,15.295833,9.595711,5.700123,4.422619,54.13244,504.38904,591.07587,171.57825,2.5434523,205.25298,25.193453,
3,16.443954,10.4838,5.9601526,5.517742,52.544353,532.34283,546.2458,189.7976,2.077957,197.39247,27.80914,
4,18.512218,11.992342,6.5198817,6.938056,51.730556,536.67993,507.23056,199.42178,2.9631944,206.125,38.708332,
5,18.419624,13.23556,5.1840634,9.713173,60.20699,503.4434,400.93015,219.37848,2.3018818,195.90054,48.723118,
6,17.714724,13.35594,4.358784,10.347084,66.2375,450.49005,302.07562,228.50204,2.0247223,209.81944,63.01389,
7,17.428093,13.457013,3.9710789,10.860214,68.083336,444.44574,284.5787,247.20491,1.882258,182.94354,66.47849,
8,17.413979,13.740418,3.673559,11.414383,70.47581,441.0552,278.9226,248.12807,1.4293009,180.48387,61.74731,
9,16.565554,13.242798,3.322757,11.022083,72.93056,406.41168,249.6972,243.06064,2.1518054,210.56944,71.0,
10,15.661423,11.906675,3.7547505,9.09422,68.814514,428.79037,362.18,215.33778,2.6674733,228.96506,52.99731,
11,14.602639,9.798863,4.803776,5.7650003,58.683334,439.46466,503.22983,174.40965,2.3026388,233.29167,28.652779,
12,13.217339,8.629835,4.5875015,4.467473,60.52554,415.85538,502.70242,159.62022,2.569624,210.37634,41.115593,
