SALTILLO, -, MEX
month,Dry Bulb Temp,Wet Bulb Temp,Depression,Dew Point,Rel Humidity,Global Horiz Rad,Direct Norm Rad,Diffuse Rad,Wind Speed,Wind Direction,Sky Cover,
 ,Avg Daily,Avg Daily,Avg Daily,Avg Daily,Avg Daily,Avg Daily,Avg Daily,Avg Daily,Avg Daily,Avg Daily,Avg Daily,
 ,degrees C,degrees C,degrees C,degrees C,percent,(Wh/sq.m),(Wh/sq.m),(Wh/sq.m),ms,degrees,percent,
1,10.922312,6.923859,3.9984531,3.185484,62.407257,365.66595,463.61517,151.06499,2.8952956,210.35484,25.255377,
2,14.364732,9.41825,4.9464817,5.2413697,57.471725,388.94662,382.6902,193.61014,3.246577,213.09525,43.541668,
3,17.344488,10.771746,6.572745,5.239785,49.407257,479.53262,486.84546,191.34258,3.38629,202.31183,31.411291,
4,20.528332,12.963272,7.565063,7.2863894,46.419445,494.38376,420.57974,213.44315,3.8956947,191.0,36.72222,
5,23.199057,15.707889,7.4911704,10.955779,50.125,502.67514,447.1194,213.87395,3.5456986,199.59677,36.39785,
6,22.527502,16.62221,5.9052906,13.381387,58.530556,500.20044,426.20624,206.63507,3.5391667,165.51389,31.833334,
7,22.490993,17.478144,5.012849,14.9208355,64.360214,447.91968,319.9678,233.29787,3.2477148,161.81451,47.48656,
8,22.338978,16.696611,5.642366,13.596239,59.64785,461.69922,347.16373,231.52197,3.2966397,160.75269,43.79032,
9,19.619028,16.695301,2.923728,15.222081,78.14445,403.16455,288.52734,212.55357,2.9573607,170.36111,56.09722,
10,18.949461,14.808486,4.1409755,12.365189,68.06317,423.9345,429.3588,178.85295,3.106317,204.06586,31.89516,
11,15.607225,10.541305,5.065918,6.2198615,57.302776,402.01553,528.86096,144.76704,2.9338887,190.48611,23.819445,
12,11.481721,7.6605325,3.8211856,4.0768814,64.80511,326.03345,411.2481,144.37886,2.8708339,194.7715,38.158604,
