TEPIC, -, MEX
month,Dry Bulb Temp,Wet Bulb Temp,Depression,Dew Point,Rel Humidity,Global Horiz Rad,Direct Norm Rad,Diffuse Rad,Wind Speed,Wind Direction,Sky Cover,
 ,Avg Daily,Avg Daily,Avg Daily,Avg Daily,Avg Daily,Avg Daily,Avg Daily,Avg Daily,Avg Daily,Avg Daily,Avg Daily,
 ,degrees C,degrees C,degrees C,degrees C,percent,(Wh/sq.m),(Wh/sq.m),(Wh/sq.m),ms,degrees,percent,
1,18.599598,13.96711,4.6324883,10.828764,65.99059,375.30148,408.51114,181.337,1.6776882,201.58603,32.19086,
2,18.149853,14.912379,3.237472,13.09137,75.46726,414.78162,385.0459,204.33391,1.6308036,201.78572,25.952381,
3,20.043951,15.477093,4.5668607,12.787636,68.2957,468.83737,410.0822,219.72096,2.0026882,264.52957,28.400537,
4,22.401253,17.251802,5.1494436,14.516112,65.13472,533.67413,506.5618,205.56187,2.091389,219.98611,17.51389,
5,23.938978,18.539225,5.399752,15.772849,63.922043,527.123,470.60254,203.57002,2.0900538,230.18817,25.64516,
6,24.797775,21.226137,3.5716398,19.70972,75.6375,445.53195,311.51694,234.57742,1.9959724,224.90277,58.333332,
7,24.30067,21.659899,2.640772,20.585617,81.293015,378.3052,184.97287,255.91751,1.7092742,185.92741,70.77957,
8,23.998655,21.616238,2.3824213,20.656721,83.04973,396.5027,213.04865,258.33368,1.4799732,227.5,67.80914,
9,23.656248,21.659922,1.9963266,20.85972,85.645836,366.3686,189.40009,249.16745,1.7077779,182.375,68.52778,
10,23.37164,20.559114,2.812525,19.289381,80.162636,391.6271,308.2114,213.71564,1.5008066,169.65054,48.655914,
11,20.524445,16.791994,3.7324526,14.720276,72.611115,383.83328,397.85074,184.74773,1.5193052,172.5,30.26389,
12,17.98925,14.808242,3.1810057,12.9119625,75.662636,338.7294,351.71255,181.2524,1.5416669,176.66667,34.05914,
