TLAXCALA, -, MEX
month,Dry Bulb Temp,Wet Bulb Temp,Depression,Dew Point,Rel Humidity,Global Horiz Rad,Direct Norm Rad,Diffuse Rad,Wind Speed,Wind Direction,Sky Cover,
 ,Avg Daily,Avg Daily,Avg Daily,Avg Daily,Avg Daily,Avg Daily,Avg Daily,Avg Daily,Avg Daily,Avg Daily,Avg Daily,
 ,degrees C,degrees C,degrees C,degrees C,percent,(Wh/sq.m),(Wh/sq.m),(Wh/sq.m),ms,degrees,percent,
1,12.736021,8.794129,3.9418929,5.557392,65.30914,441.84122,553.4305,159.64098,1.0106183,181.33064,14.032258,
2,14.701785,9.79979,4.9019957,5.904613,58.88988,514.0086,630.54474,160.16246,1.4779763,222.08333,18.020834,
3,16.125267,10.658947,5.466323,6.380511,56.53898,545.7996,587.7707,184.211,1.1295699,195.98119,24.153225,
4,18.859999,12.659375,6.2006273,8.235416,55.119446,577.25653,607.91125,190.03288,1.0681944,156.31944,30.319445,
5,19.188438,14.099827,5.0886145,10.693682,63.47446,536.27795,495.0504,206.4826,1.2037634,178.87097,44.072582,
6,17.627918,13.875062,3.7528548,11.563196,70.32917,463.05286,337.1497,233.22865,1.0804166,196.48611,53.666668,
7,17.423923,14.104705,3.3192184,12.115322,73.56855,460.85388,320.4416,241.99435,0.9455645,209.31451,51.814518,
8,17.515858,13.859852,3.6560078,11.577287,71.30108,460.46518,321.7571,246.80833,0.8721775,165.96774,65.47043,
9,16.494581,13.518837,2.975748,11.693473,75.425,434.20932,293.9808,244.34305,0.65,185.26389,54.666668,
10,16.16277,12.548072,3.6146972,10.069489,70.17204,440.2182,382.68747,204.59013,0.94166654,248.66936,40.873657,
11,14.2075,10.053778,4.153722,6.857501,64.63333,464.0697,587.02765,161.85947,1.0147222,243.13889,19.98611,
12,12.506585,8.236188,4.270398,4.491532,61.797043,428.44162,552.7231,155.40619,1.2044355,180.99463,21.021505,
