TUXTLA-GUTIERREZ, -, MEX
month,Dry Bulb Temp,Wet Bulb Temp,Depression,Dew Point,Rel Humidity,Global Horiz Rad,Direct Norm Rad,Diffuse Rad,Wind Speed,Wind Direction,Sky Cover,
 ,Avg Daily,Avg Daily,Avg Daily,Avg Daily,Avg Daily,Avg Daily,Avg Daily,Avg Daily,Avg Daily,Avg Daily,Avg Daily,
 ,degrees C,degrees C,degrees C,degrees C,percent,(Wh/sq.m),(Wh/sq.m),(Wh/sq.m),ms,degrees,percent,
1,21.757528,19.553265,2.2042606,18.595297,82.7957,346.4519,252.61787,208.40785,1.5797042,294.5027,43.91129,
2,23.469194,20.693413,2.7757835,19.552082,79.66369,412.31818,311.36423,227.9805,1.7178574,270.35715,31.190475,
3,24.239649,21.583128,2.6565232,20.56089,81.01344,437.42023,300.2196,244.81305,2.0182796,269.65054,33.615593,
4,26.78639,22.164652,4.621737,20.239445,69.78889,484.0998,382.4711,227.41464,1.834583,264.77777,30.930555,
5,27.663847,24.456663,3.2071815,23.33508,78.491936,444.97632,312.8754,244.79843,1.9657258,267.17743,44.569893,
6,25.867638,21.720098,4.1475425,19.962084,72.16389,374.8268,208.95488,244.33426,0.9869443,225.81944,74.138885,
7,26.116266,24.069586,2.046677,23.366129,85.30914,367.0107,169.39934,256.39,0.7752688,289.1129,70.37634,
8,25.553095,23.453634,2.099455,22.701744,84.88844,375.64243,179.04767,258.70905,0.79086024,274.9328,74.05914,
9,25.386524,23.467491,1.9190332,22.725557,85.833336,395.94534,201.08014,258.03644,1.0829167,284.1389,72.06944,
10,25.51331,21.275082,4.2382245,19.438576,71.280914,410.82297,303.97412,231.20123,0.91935474,267.01614,54.50269,
11,23.278334,20.90786,2.3704734,19.90222,82.07917,417.5991,428.2281,194.8694,1.8463887,305.70834,27.916666,
12,22.013441,20.186745,1.8266951,19.348522,85.56721,393.1548,419.97723,193.16829,1.4780914,333.293,35.403225,
