Ciudad,Veeracruz,Ciudad,Veeracruz,Lat,19.13,Long,-96.18,Fuente,Custom-76766913,Zona,-6,Elevacion,33
month,Dry Bulb Temp,Wet Bulb Temp,Depression,Dew Point,Rel Humidity,Global Horiz Rad,Direct Norm Rad,Diffuse Rad,Wind Speed,Wind Direction,Sky Cover,,
 ,Avg Daily,Avg Daily,Avg Daily,Avg Daily,Avg Daily,Avg Daily,Avg Daily,Avg Daily,Avg Daily,Avg Daily,Avg Daily,,
 ,degrees C,degrees C,degrees C,degrees C,percent,(Wh/sq.m),(Wh/sq.m),(Wh/sq.m),ms,degrees,percent,,
1,21.988844,19.239141,2.749705,17.840324,78.9879,340.97202,277.2309,186.64717,3.5932798,231.33064,50.389786,,
2,22.419048,19.498764,2.9202826,18.04926,77.74851,381.69247,284.9008,214.77884,3.6263387,204.34525,50.401787,,
3,23.967741,19.994083,3.9736555,18.08629,71.38575,456.08612,349.71036,222.13693,3.106452,174.69086,44.932796,,
4,26.636251,22.758999,3.8772495,21.164028,73.290276,476.77313,354.36844,233.29562,3.3145833,192.26389,51.333332,,
5,28.138708,24.521986,3.6167212,23.196102,75.95968,468.74948,330.5733,226.21149,2.7502692,161.35753,60.430107,,
6,28.023335,24.799856,3.223478,23.670277,78.40833,436.24323,294.43298,229.03401,2.6506946,174.30556,57.180557,,
7,28.570833,24.996656,3.5741801,23.758467,76.34006,428.70007,272.76862,237.67973,1.794758,167.16397,52.432796,,
8,28.595293,25.041203,3.5540984,23.809273,76.525536,414.276,243.67462,232.04028,1.7810482,152.05646,59.569893,,
9,27.82889,24.340372,3.4885128,23.079865,76.469444,400.0704,234.52533,242.63167,2.1566668,222.38889,63.97222,,
10,27.344217,24.03212,3.3121018,22.811293,77.27151,381.11697,252.5356,228.41,2.629301,197.94354,52.05645,,
11,24.923197,21.117786,3.805407,19.417501,72.958336,385.3909,354.42252,190.84842,3.2830555,205.50694,42.11111,,
12,22.475937,19.332668,3.1432724,17.812366,76.1707,348.34833,324.41608,185.19878,2.8633063,213.2258,44.784946,,
