ZACATECAS-G-RUIZ-AP, -, MEX
month,Dry Bulb Temp,Wet Bulb Temp,Depression,Dew Point,Rel Humidity,Global Horiz Rad,Direct Norm Rad,Diffuse Rad,Wind Speed,Wind Direction,Sky Cover,
 ,Avg Daily,Avg Daily,Avg Daily,Avg Daily,Avg Daily,Avg Daily,Avg Daily,Avg Daily,Avg Daily,Avg Daily,Avg Daily,
 ,degrees C,degrees C,degrees C,degrees C,percent,(Wh/sq.m),(Wh/sq.m),(Wh/sq.m),ms,degrees,percent,
1,9.666264,4.722292,4.9439716,-1.1666666,52.283604,382.72256,437.56918,155.06734,4.4338703,185.55107,42.99731,
2,12.550447,5.160152,7.3902946,-4.4266367,36.17113,451.23065,504.35834,175.70271,5.2322917,195.2381,38.169643,
3,14.912231,5.490723,9.421508,-7.0944896,24.04973,514.41364,545.4508,185.14313,5.8436832,193.65591,32.05645,
4,17.223473,7.8590174,9.364454,-2.7380557,29.266666,519.723,471.94162,205.47754,4.9820833,209.54167,35.77778,
5,20.218012,10.275645,9.942365,0.75712365,31.353495,509.61035,444.07693,214.06544,4.785216,189.6371,44.35484,
6,19.859863,12.471616,7.388248,6.7056947,47.75139,465.31067,352.17914,230.54953,3.745278,148.72223,56.805557,
7,19.038979,13.22974,5.8092403,9.20699,56.376343,415.32532,247.58984,251.59828,4.016532,144.64784,68.07796,
8,18.973387,12.962804,6.0105834,8.614652,55.0457,445.67163,318.99014,236.39426,4.482527,136.8414,63.225807,
9,17.272774,12.476396,4.7963805,9.069306,61.505554,414.46887,292.09985,234.65773,4.107083,131.30556,66.77778,
10,16.478357,10.836231,5.642128,6.1452956,55.51613,423.18793,408.28156,191.69699,2.9293005,143.88441,45.120968,
11,11.892916,6.4621096,5.4308066,0.575,51.295834,439.39465,577.1128,149.03532,3.2861114,151.01389,27.277779,
12,10.95793,4.703711,6.2542186,-2.9116933,42.364246,390.8722,521.6205,150.61351,3.448521,177.55376,30.040323,
